Id,algebra,programming,data science,robotics,economics,finance,job,salary
0,73,89,95,89,57,51,data scientist,920000
1,81,65,90,83,98,98,robotics engineer,1090000
2,70,60,82,69,93,98,senior developer,510000
3,70,98,86,94,52,74,senior developer,690000
4,93,55,56,82,73,69,senior developer,430000
5,87,63,82,57,58,84,junior developer,160000
6,74,96,69,55,57,87,data scientist,970000
7,81,75,80,57,81,89,logistics manager,470000
8,82,77,53,70,83,62,senior developer,500000
9,89,72,95,87,61,81,developer,350000
10,94,57,63,52,85,80,economist,420000
11,69,77,91,51,59,57,data scientist,810000
12,82,73,96,79,83,59,economist,410000
13,86,86,91,90,60,80,logistics manager,540000
14,86,55,64,53,78,78,developer,250000
15,97,78,56,91,73,81,senior developer,600000
16,64,70,90,84,51,73,finance director,1040000
17,65,54,91,52,54,83,developer,240000
18,60,95,90,55,84,70,robotics engineer,820000
19,57,72,93,77,83,90,robotics engineer,950000
20,85,81,98,70,64,87,junior developer,170000
21,51,78,95,89,84,86,junior developer,140000
22,61,55,94,91,60,79,data scientist,680000
23,67,58,86,90,54,86,logistics manager,530000
24,56,62,52,53,89,53,senior developer,400000
25,70,66,97,70,66,94,senior developer,510000
26,87,65,85,96,56,61,senior developer,580000
27,83,83,89,69,50,98,junior developer,160000
28,90,79,94,57,99,77,junior developer,190000
29,51,71,76,57,99,69,senior developer,490000
30,92,75,76,74,93,81,logistics manager,660000
31,54,75,87,63,81,95,junior developer,130000
32,79,86,80,79,70,54,junior developer,170000
33,91,67,67,67,60,75,senior developer,570000
34,78,67,91,68,62,95,robotics engineer,1020000
35,50,62,65,58,79,79,junior developer,100000
36,78,67,65,82,87,98,junior developer,150000
37,90,87,70,53,58,84,logistics manager,600000
38,75,70,84,55,54,98,junior developer,130000
39,87,91,80,50,78,84,junior developer,180000
40,61,93,78,64,96,86,data scientist,890000
41,53,96,60,62,82,53,logistics manager,530000
42,68,69,81,74,73,96,junior developer,150000
43,86,86,68,82,78,57,robotics engineer,1150000
44,71,80,78,90,50,74,economist,380000
45,72,76,52,70,55,77,finance director,1120000
46,95,90,61,63,51,72,senior developer,660000
47,64,92,57,51,74,61,senior developer,560000
48,94,50,70,57,66,73,logistics manager,540000
49,87,72,64,78,55,54,finance director,1120000
50,76,83,52,70,91,80,developer,380000
51,67,55,50,79,55,62,finance director,1020000
52,84,69,60,98,74,98,economist,470000
53,75,57,68,77,70,83,economist,400000
54,54,99,62,50,65,73,economist,330000
55,94,96,92,53,63,74,logistics manager,510000
56,85,54,65,78,81,67,economist,380000
57,59,68,68,50,79,71,robotics engineer,840000
58,74,88,64,90,60,66,finance director,950000
59,68,58,72,68,67,82,junior developer,140000
60,96,85,59,65,94,69,data scientist,880000
61,82,50,98,88,55,96,logistics manager,580000
